epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,13682,1.17741,0.64915,0.93965,0.83054,0.76172,0.82063,0.51145,1.14982,0.61891,0.93112,0.0002426,0.0002426,0.0002426
54,14731.9,1.17443,0.64792,0.94222,0.83785,0.75961,0.82155,0.5107,1.15033,0.61751,0.93042,0.00023765,0.00023765,0.00023765
55,15782.3,1.16665,0.6436,0.93783,0.83341,0.76361,0.82327,0.51136,1.15432,0.61859,0.93177,0.0002327,0.0002327,0.0002327
56,16831.1,1.17595,0.65104,0.93824,0.83363,0.7626,0.82143,0.51105,1.15006,0.61913,0.92971,0.00022775,0.00022775,0.00022775
57,17879.5,1.16765,0.64721,0.93879,0.83396,0.76153,0.82371,0.51326,1.14302,0.6146,0.92897,0.0002228,0.0002228,0.0002228
58,18946.6,1.16399,0.64205,0.93766,0.83587,0.76076,0.82263,0.51348,1.14474,0.61622,0.93006,0.00021785,0.00021785,0.00021785
59,19995.2,1.16109,0.63718,0.93844,0.83306,0.76698,0.82458,0.51388,1.14649,0.61322,0.93075,0.0002129,0.0002129,0.0002129
60,21043.8,1.15653,0.63814,0.93403,0.83591,0.76122,0.82183,0.51229,1.14651,0.61359,0.92952,0.00020795,0.00020795,0.00020795
61,22092.5,1.16026,0.63681,0.93541,0.83024,0.76637,0.82328,0.51309,1.14322,0.61241,0.92938,0.000203,0.000203,0.000203
62,23141.4,1.1625,0.63712,0.93523,0.83359,0.76746,0.8241,0.51509,1.14007,0.61019,0.92873,0.00019805,0.00019805,0.00019805
63,24190.7,1.15142,0.63022,0.93298,0.82978,0.7688,0.82435,0.51312,1.15096,0.61198,0.93123,0.0001931,0.0001931,0.0001931
64,25240.5,1.15791,0.63192,0.93711,0.83355,0.76746,0.82421,0.50985,1.16399,0.61571,0.9335,0.00018815,0.00018815,0.00018815
65,26289.8,1.15679,0.6312,0.93695,0.83477,0.76733,0.82823,0.51383,1.1515,0.6105,0.93147,0.0001832,0.0001832,0.0001832
66,27338.7,1.16094,0.63879,0.93808,0.8332,0.76548,0.82526,0.51346,1.15113,0.61216,0.93099,0.00017825,0.00017825,0.00017825
67,28387.3,1.16465,0.63724,0.94047,0.83449,0.76688,0.82539,0.51341,1.15325,0.61127,0.93083,0.0001733,0.0001733,0.0001733
68,29436,1.15217,0.63183,0.93367,0.83549,0.76508,0.82608,0.51324,1.15253,0.61074,0.9302,0.00016835,0.00016835,0.00016835
69,30485.2,1.16026,0.63399,0.93601,0.83773,0.76301,0.82588,0.51313,1.15301,0.61009,0.93026,0.0001634,0.0001634,0.0001634
70,31532.4,1.15993,0.63267,0.93692,0.83039,0.77055,0.82574,0.51388,1.14859,0.60832,0.92895,0.00015845,0.00015845,0.00015845
71,32580.4,1.15741,0.63173,0.93438,0.83193,0.76886,0.82443,0.51421,1.14597,0.60851,0.92946,0.0001535,0.0001535,0.0001535
72,33628.3,1.15445,0.62703,0.9343,0.83259,0.76604,0.82348,0.51291,1.14886,0.60886,0.92941,0.00014855,0.00014855,0.00014855
73,34677.4,1.14789,0.62306,0.93183,0.83213,0.76793,0.82466,0.50965,1.16685,0.61005,0.93234,0.0001436,0.0001436,0.0001436
74,35726.3,1.15565,0.62445,0.93565,0.83596,0.76673,0.82576,0.51167,1.16167,0.60981,0.93173,0.00013865,0.00013865,0.00013865
75,1038.59,1.12662,0.60429,0.92437,0.83612,0.76823,0.82744,0.51443,1.15271,0.60605,0.93024,0.0001337,0.0001337,0.0001337
76,2067.21,1.12518,0.60337,0.92618,0.83778,0.76528,0.82694,0.51384,1.15497,0.60758,0.93069,0.00012875,0.00012875,0.00012875
77,3095.59,1.13124,0.60584,0.92365,0.83483,0.76821,0.8255,0.51306,1.1592,0.60848,0.93149,0.0001238,0.0001238,0.0001238
78,4122.17,1.11888,0.59905,0.92155,0.83668,0.76761,0.82561,0.51275,1.1595,0.60841,0.93157,0.00011885,0.00011885,0.00011885
79,5149.01,1.11966,0.59661,0.92428,0.83489,0.76919,0.82587,0.51251,1.16014,0.60839,0.93193,0.0001139,0.0001139,0.0001139
80,6174.96,1.1172,0.596,0.92229,0.83541,0.76868,0.82679,0.51351,1.15906,0.60726,0.93148,0.00010895,0.00010895,0.00010895
81,7201.38,1.11089,0.59223,0.92161,0.83727,0.7688,0.82717,0.51391,1.15506,0.60577,0.9309,0.000104,0.000104,0.000104
82,8227.59,1.10754,0.58792,0.91778,0.83614,0.77012,0.82677,0.51347,1.15861,0.60627,0.93192,9.905e-05,9.905e-05,9.905e-05
83,9270.28,1.11187,0.59071,0.91992,0.83454,0.76951,0.82863,0.51407,1.16057,0.60627,0.9323,9.41e-05,9.41e-05,9.41e-05
84,10294.3,1.11014,0.58983,0.92168,0.83624,0.76844,0.82532,0.51327,1.16029,0.60558,0.93295,8.915e-05,8.915e-05,8.915e-05
85,11318.7,1.10197,0.58396,0.91865,0.83797,0.76587,0.82557,0.51369,1.15849,0.60631,0.93204,8.42e-05,8.42e-05,8.42e-05
86,12343.2,1.10679,0.58682,0.91904,0.83374,0.77081,0.82652,0.51363,1.15812,0.60636,0.93244,7.925e-05,7.925e-05,7.925e-05
